"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 28, 2017","105.72","105.79","106.23","105.44","657.12K","-0.24%"
"Jun 27, 2017","105.97","106.52","107.19","105.85","653.44K","-0.71%"
"Jun 26, 2017","106.73","107.13","107.54","106.59","442.31K","-0.04%"
"Jun 23, 2017","106.77","106.31","108.14","106.31","590.92K","0.44%"
"Jun 22, 2017","106.30","106.64","107.70","106.09","1.01M","-0.21%"
"Jun 21, 2017","106.52","105.80","107.52","105.80","1.35M","1.14%"
"Jun 20, 2017","105.32","105.21","105.72","104.36","686.21K","0.17%"
"Jun 19, 2017","105.14","105.58","105.79","104.74","630.41K","-0.56%"
"Jun 16, 2017","105.73","106.35","106.36","105.19","1.32M","-0.32%"
"Jun 15, 2017","106.07","105.66","106.72","105.66","531.31K","-0.16%"
"Jun 14, 2017","106.24","107.55","107.86","105.85","617.39K","-0.87%"
"Jun 13, 2017","107.17","107.14","108.17","106.19","754.27K","-1.07%"
"Jun 12, 2017","108.33","106.36","109.00","106.10","1.26M","2.02%"
"Jun 09, 2017","106.18","103.60","106.50","103.35","848.92K","2.54%"
"Jun 08, 2017","103.55","102.43","104.17","102.00","704.83K","1.19%"
"Jun 07, 2017","102.33","101.95","102.41","101.66","683.14K","0.65%"
"Jun 06, 2017","101.67","103.14","103.14","101.41","737.14K","-1.45%"
"Jun 05, 2017","103.17","103.25","103.52","102.49","440.11K","-0.14%"
"Jun 02, 2017","103.31","103.10","103.70","102.49","740.23K","0.58%"
"Jun 01, 2017","102.71","100.93","102.88","100.88","809.14K","1.66%"
"May 31, 2017","101.03","101.20","101.98","100.80","1.22M","-0.19%"
"May 30, 2017","101.22","102.00","102.40","101.21","720.79K","-0.61%"
"May 26, 2017","101.84","102.74","103.13","101.48","455.92K","-0.80%"
"May 25, 2017","102.66","102.30","103.10","102.03","821.67K","0.48%"
"May 24, 2017","102.17","103.19","103.52","102.12","527.06K","-0.72%"
"May 23, 2017","102.91","102.63","103.73","102.29","426.69K","0.40%"
"May 22, 2017","102.50","102.51","103.36","102.31","558.08K","0.24%"
"May 19, 2017","102.25","101.84","103.21","101.58","1.08M","0.38%"
"May 18, 2017","101.86","102.22","103.47","101.47","952.08K","-0.16%"
"May 17, 2017","102.02","101.23","103.61","100.69","768.05K","-0.22%"
"May 16, 2017","102.24","102.74","102.74","101.82","523.44K","-0.47%"
"May 15, 2017","102.72","102.76","104.23","102.18","584.08K","0.02%"
"May 12, 2017","102.70","103.28","103.77","102.54","422.76K","-0.74%"
"May 11, 2017","103.47","103.79","103.94","102.17","643.71K","-0.73%"
"May 10, 2017","104.23","103.23","104.80","103.06","432.22K","0.71%"
"May 09, 2017","103.50","104.65","104.78","103.22","505.64K","-1.18%"
"May 08, 2017","104.74","105.70","106.03","104.24","538.55K","-0.73%"
"May 05, 2017","105.51","105.04","105.90","104.81","335.15K","0.62%"
"May 04, 2017","104.86","105.01","105.11","103.79","759.07K","-0.29%"
"May 03, 2017","105.16","106.50","106.50","104.64","498.78K","-0.99%"
"May 02, 2017","106.21","105.69","106.46","104.89","761.58K","0.58%"
"May 01, 2017","105.60","105.14","105.86","104.74","473.15K","0.64%"
"Apr 28, 2017","104.93","105.01","105.26","104.04","677.65K","-0.19%"
"Apr 27, 2017","105.13","105.91","106.31","104.74","569.38K","-0.85%"
"Apr 26, 2017","106.03","108.00","108.23","105.99","843.50K","-2.06%"
"Apr 25, 2017","108.26","107.07","108.36","106.66","751.72K","1.11%"
"Apr 24, 2017","107.07","108.57","108.75","106.12","1.04M","-0.56%"
"Apr 21, 2017","107.67","106.78","108.00","106.44","996.62K","0.76%"
"Apr 20, 2017","106.86","106.92","107.94","104.82","1.31M","-1.02%"
"Apr 19, 2017","107.96","108.88","109.38","107.57","592.00K","-0.57%"
"Apr 18, 2017","108.58","109.24","109.95","108.12","401.28K","-1.05%"
"Apr 17, 2017","109.73","107.92","109.78","107.83","392.05K","1.74%"
"Apr 13, 2017","107.85","108.78","108.82","107.70","259.21K","-0.97%"
"Apr 12, 2017","108.91","109.11","109.49","108.57","441.37K","-0.13%"
"Apr 11, 2017","109.05","108.37","109.27","108.09","509.86K","0.52%"
"Apr 10, 2017","108.49","107.89","108.84","107.48","458.22K","0.82%"
"Apr 07, 2017","107.61","108.63","109.35","107.49","802.19K","-0.90%"
"Apr 06, 2017","108.59","107.12","108.98","106.68","580.51K","1.25%"
"Apr 05, 2017","107.25","107.45","108.61","107.11","502.99K","-0.10%"
"Apr 04, 2017","107.36","106.80","107.64","106.24","608.00K","0.51%"
"Apr 03, 2017","106.82","106.57","107.10","106.09","431.47K","0.19%"
"Mar 31, 2017","106.62","105.09","106.86","104.45","763.67K","1.39%"
"Mar 30, 2017","105.16","104.59","105.46","103.93","420.50K","0.52%"
"Mar 29, 2017","104.62","104.75","104.82","103.54","762.83K","-0.83%"
"Mar 28, 2017","105.50","105.66","105.96","103.66","538.10K","-0.02%"
"Mar 27, 2017","105.52","106.10","106.75","104.98","445.48K","-1.19%"
"Mar 24, 2017","106.79","107.93","108.20","106.62","419.79K","-0.72%"
"Mar 23, 2017","107.56","105.81","108.34","105.81","833.09K","1.75%"
"Mar 22, 2017","105.71","107.00","107.13","104.97","633.35K","-0.99%"
"Mar 21, 2017","106.77","109.59","109.59","106.65","594.58K","-1.95%"
"Mar 20, 2017","108.89","109.25","109.51","108.43","329.91K","-0.38%"
"Mar 17, 2017","109.31","108.58","110.08","107.89","1.42M","1.02%"
"Mar 16, 2017","108.21","108.51","109.62","108.01","624.43K","-0.54%"
"Mar 15, 2017","108.80","105.79","109.30","105.79","610.04K","2.92%"
"Mar 14, 2017","105.71","106.41","106.43","105.28","463.37K","-0.69%"
"Mar 13, 2017","106.44","106.71","107.28","106.24","829.52K","-0.22%"
"Mar 10, 2017","106.68","109.52","110.16","106.25","780.77K","-1.99%"
"Mar 09, 2017","108.85","110.86","111.32","108.03","750.10K","-1.74%"
"Mar 08, 2017","110.78","111.78","112.01","110.69","580.19K","-1.20%"
"Mar 07, 2017","112.12","112.64","113.03","111.40","496.39K","-0.62%"
"Mar 06, 2017","112.82","112.07","113.24","111.75","662.66K","0.47%"
"Mar 03, 2017","112.29","111.89","112.59","110.92","623.21K","0.71%"
"Mar 02, 2017","111.50","113.38","113.73","111.07","842.91K","-1.98%"
"Mar 01, 2017","113.75","112.72","115.34","111.39","1.09M","0.95%"
"Feb 28, 2017","112.68","112.59","112.93","111.59","601.38K","-0.04%"
"Feb 27, 2017","112.72","112.05","113.21","111.64","362.51K","0.88%"
"Feb 24, 2017","111.74","111.92","112.18","110.57","605.16K","-0.26%"
"Feb 23, 2017","112.03","112.81","113.74","111.48","451.43K","-0.35%"
"Feb 22, 2017","112.42","112.43","112.78","111.10","530.14K","0.09%"
"Feb 21, 2017","112.32","111.20","112.63","110.81","533.36K","0.93%"
